,Nom,Né le,Département de naissance,Département de mort
13682,Jean-François Eude,25 juin 1759,Eure,Seine-Maritime
13683,"Marie, Joseph, Jacques, François, Cécille Bermond",18 juin 1759,Haute-Garonne,Tarn
13684,"Nicolas, Charles Tronchon",15 juin 1759,Inconnu,Inconnu
13685,"Philippe, Constant, Joseph Briez",10 juin 1759,Nord,Nord
13686,"François, Scholastique de Guéhéneuc",4 juin 1759,Seine,Paris
13687,Jean-François Lepigeon-De-Boisval,3 juin 1759,Manche,Manche
13688,Jean-Baptiste Le Carpentier,1er juin 1759,Manche,Manche
13689,Hilaire Casteran,29 mai 1759,Hautes-Pyrénées,Inconnu
13690,"Pierre, Louis, Marie Roze",23 mai 1759,Savoie,Inconnu
13691,Gilbert Prudon,21 mai 1759,Inconnu,Inconnu
13692,Jean Gros,19 mai 1759,Cantal,Cantal
13693,Jean Deval de Guymont de Saumade,16 mai 1759,Inconnu,Inconnu
13694,Mamert Coullion,11 mai 1759,Inconnu,Inconnu
13695,"François, Guillaume, Jean, Stanislas Andrieux",6 mai 1759,Bas-Rhin,Paris
13696,"Jean, Joseph Siméon",6 mai 1759,Var,Var
13697,"François, Jean-Baptiste Carelli de Bassy de Cevins",5 mai 1759,Savoie,Haute-Savoie
13698,"Charles, Alexandre, Marie Dalloz",3 mai 1759,Jura,Inconnu
13699,"Léopold, Grégoire Desgranges Cadet",2 mai 1759,Haute-Saône,Vosges
13700,Joachim Perez du Gief,30 avril 1759,Gers,Gers
13701,"Jean-Baptiste, Onésime Philippoteaux",27 avril 1759,Ardennes,Ardennes
13702,"Dominique, Georges, Frédéric Dufour de Pradt",23 avril 1759,Cantal,Paris
13703,Paul Tack,23 avril 1759,Inconnu,Inconnu
13704,Jean Roussilhe,19 avril 1759,Cantal,Paris
13705,"Julien, François Duval-Villebogard",19 avril 1759,Côtes,Inconnu
13706,Jean-Baptiste Charton,18 avril 1759,Aube,Aube
13707,Jean-Baptiste Michaud,17 avril 1759,Doubs,Inconnu
13708,François Becquey,13 avril 1759,Marne,Marne
13709,"Jean, Antoine de Catellan-Caumont",11 avril 1759,Haute-Garonne,Haute-Garonne
13710,Jean Tartanac,10 avril 1759,Gers,Inconnu
13711,Jean-Baptiste Chantrier,2 avril 1759,Inconnu,Inconnu
13712,Pierre Pérignon,1er avril 1759,Marne,Paris
13713,Pierre Marec,31 mars 1759,Finistère,Paris
13714,"Ernest, Joseph Desmoutier",28 mars 1759,Nord,Nord
13715,"Louis, Germain Duplan",26 mars 1759,Gers,Inconnu
13716,"Joseph, Marie Cusset",26 mars 1759,Paris,Inconnu
13717,Sébastien Escanyé,24 mars 1759,Pyrénées-Orientales,Pyrénées-Orientales
13718,"François, Joseph Barrois-Virnot",22 mars 1759,Nord,Nord
13719,César Faucher,20 mars 1759,Gironde,Gironde
13720,"Louis, Marie, Joseph Gossuin",18 mars 1759,Nord,Allier
13721,"Jean, Etienne, Antoine Bertezène",15 mars 1759,Gard,Gard
13722,"René, Marie, Maximilien Léopold de Stabenrath",14 mars 1759,Seine-Inférieure,Paris
13723,Charles de Vos Van Stenwick,11 mars 1759,Inconnu,Inconnu
13724,"Jean-Claude, Michel Gillet",7 mars 1759,Paris,Inconnu
13725,Michel Gentil,27 février 1759,Loiret,Loiret
13726,"Félix, Joseph, Vital, Thomas Mattei",26 février 1759,Inconnu,Inconnu
13727,"Louis, Charles, Alexandre Boullenger",26 février 1759,Seine-Inférieure,Seine-Maritime
13728,Jean Pelet de la Lozère,23 février 1759,Gard,Paris
13729,"Philippe, Laurent Pons de Verdun",17 février 1759,Meuse,Paris
13730,"Louis, Jacques Rousseau",14 février 1759,Sarthe,Paris
13731,"Michel, Laurent de Selys-Longchamps",10 février 1759,Inconnu,Inconnu
13732,"François, Henri Plauche",9 février 1759,Basses-Alpes,Inconnu
13733,"Charles, Paul Lacroix de Chevrières de Saint-Vallier",8 février 1759,Isère,Paris
13734,"Louis, Gabriel Guérin",6 février 1759,Sarthe,Paris
13735,"Antoine, Joseph Alricy",2 février 1759,Isère,Isère
13736,"Eustache, Antoine Hua",30 janvier 1759,Paris,Inconnu
13737,Jean-Baptiste Raulin,27 janvier 1759,Meuse,Meuse
13738,Jean-Baptiste Boiron,26 janvier 1759,Loire,Loire
13739,"François, Paul Legendre",25 janvier 1759,Nièvre,Inconnu
13740,Jean-François Frémont,19 janvier 1759,Manche,Manche
13741,"Albert, Marie, Auguste Bruneau de Beaumetz",18 janvier 1759,Nord,Nord
13742,Jacques Euvremer,15 janvier 1759,Manche,Manche
13743,"André, Antoine, Alexis Vignon-Laversanne",11 janvier 1759,Drôme,Drôme
13744,"Jean-François, Adrien Cassaigneau de Saint-Gervais",10 janvier 1759,Aude,Haute-Vienne
13745,Nicolas Thiessé,10 janvier 1759,Seine-Inférieure,Seine-Maritime
13746,"Joseph, Julien Souhait",9 janvier 1759,Vosges,Inconnu
13747,"Pierre, Louis Granier",7 janvier 1759,Hérault,Paris
13748,"Théodore, Jacques Pressac-Doré",4 janvier 1759,Vienne,Vienne
13749,"Pierre, Claude, Charles Leboucher Dulongchamp",31 décembre 1758,Orne,Inconnu
13750,Jean-Baptiste Tanchard,30 décembre 1758,Doubs,Lieu
13751,"Joseph, Louis, Claude Colaud de la Salcette",29 décembre 1758,Isère,Isère
13752,Jean-Baptiste Estaque,27 décembre 1758,Ariège,Inconnu
13753,"Antoine, Marie, Noël, Julien Vistorte",25 décembre 1758,Côtes,Côtes
13754,"Edouard, Charles, Victurnien de Colbert de Maulévrier",24 décembre 1758,Seine,Paris
13755,"Pierre, Joseph Vallée",18 décembre 1758,Meuse,Paris
13756,"Jean-Baptiste, Anne Delarue-Ducan",17 décembre 1758,Sarthe,Inconnu
13757,"Jacques, Hyacinthe Fabry",13 décembre 1758,Inconnu,Inconnu
13758,Claude Blanc,10 décembre 1758,Ain,Inconnu
13759,Pierre Gauthier,6 décembre 1758,Calvados,Calvados
13760,"Vincent, Jacques Bodin",3 décembre 1758,Deux-Sèvres,Deux-Sèvres
13761,"Jean-Baptiste, Guillaume Langlois",1er décembre 1758,Eure,Eure
13762,"Maximilien, Xavier Képler",28 novembre 1758,Bas-Rhin,Bas-Rhin
13763,"Jean, Nicolas Bassenge",24 novembre 1758,Inconnu,Inconnu
13764,Jean-Marie Ducos,23 novembre 1758,Gers,Gers
13765,"Etienne, François ,Sébastien Montegut",21 novembre 1758,Pyrénées-Orientales,Inconnu
13766,"Dominique, Ignace, Charles de Hausen de Weidesheim",16 novembre 1758,Moselle,Moselle
13767,"François, Omer Granet",16 novembre 1758,Inconnu,Inconnu
13768,Jean-Marie Desfrançais de Lolme,13 novembre 1758,Ardèche,Ardèche
13769,Joseph Cassanyès,11 novembre 1758,Pyrénées-Orientales,Pyrénées-Orientales
13770,"Jacques, Jean, Reymond Maurel",10 novembre 1758,Isère,Isère
13771,"Joseph, Charles Bera",4 novembre 1758,Vienne,Vienne
13772,"André, Charles Membrède",4 novembre 1758,Inconnu,Inconnu
13773,"Jean, Etienne Letailleur",28 octobre 1758,Seine-Inférieure,Inconnu
13774,"Jean-François, Charles Leroy",28 octobre 1758,Eure,Eure
13775,"Louis, Claude Chéron-La-Bruyère",28 octobre 1758,Seine,Vienne
13776,"Charles, Jean, Etienne Thomas-Laprise",26 octobre 1758,Orne,Orne
13777,"Jean, Bonaventure, Blaise, Hilarion Birotteau",21 octobre 1758,Pyrénées-Orientales,Gironde
13778,Jean Espert,21 octobre 1758,Ariège,Ariège
13779,"Joseph, Anne, Robert Malherbe",20 octobre 1758,Inconnu,Inconnu
13780,"Jean, Henri Couget",20 octobre 1758,Hautes-Pyrénées,Pyrénées-Atlantiques
13781,"Louis, François, Joseph, Bonaventure de Tryon de Montalembert",18 octobre 1758,Seine,Inconnu
13782,"Antoine, Laurent Chorier",16 octobre 1758,Drôme,Drôme
13783,Nicolas Barthélemy,12 octobre 1758,Meuse,Moselle
13784,"Henri, Guillaume, Mathias Olbers",11 octobre 1758,Inconnu,Inconnu
13785,"Philibert, Antoine Polissard",7 octobre 1758,Inconnu,Inconnu
13786,"René, Richard, Louis Castel",6 octobre 1758,Seine-Inférieure,Marne
13787,"François, Marie Cailhasson",26 septembre 1758,Haute-Garonne,Inconnu
13788,"Pierre, Marie Baille",23 septembre 1758,Vaucluse,Var
13789,"Antoine, Isaac Silvestre de Sacy",22 septembre 1758,Seine,Paris
13790,Pierre Pourrat,19 septembre 1758,Inconnu,Inconnu
13791,"Joseph, Pierre, Sylvain Cartier-Douineau",17 septembre 1758,Inconnu,Inconnu
13792,"Jean, Guillaume Dimartinelli",15 septembre 1758,Inconnu,Inconnu
13793,"Louis, Joseph Schmits",8 septembre 1758,Moselle,Moselle
13794,"Pierre, François, Joseph Hannecart",5 septembre 1758,Inconnu,Inconnu
13795,"Pierre, Jacques Maulde de Loisellerie",3 septembre 1758,Charente,Charente
13796,Thomas Salgues,2 septembre 1758,Lot,Corrèze
13797,"Louis, Sébastien Morel",29 août 1758,Marne,Marne
13798,Anthelme Ferrand,28 août 1758,Ain,Ain
13799,Etienne Sauret,23 août 1758,Allier,Paris
13800,"Joseph, Bernard Lagier la Condamine",20 août 1758,Drôme,Drôme
13801,"Sylvain, Phalier Lejeune",19 août 1758,Indre,Inconnu
13802,"Marie, Jacques Durand-Fajon",15 août 1758,Pyrénées-Orientales,Hérault
13803,"Denis, Toussaint Lesage",15 août 1758,Paris,Inconnu
13804,"Marie, Félix Faulcon de la Parisière",14 août 1758,Vienne,Vienne
13805,Jean-Pierre Pezous,13 août 1758,Tarn,Tarn
13806,"Gaspard, Antoine, Jean, Tiburce Degregori",11 août 1758,Inconnu,Inconnu
13807,Armand Gensonné,10 août 1758,Gironde,Paris
13808,"Jean-Marie, Cécile Valentin-Duplantier",5 août 1758,Ain,Paris
13809,"Anne, Pierre, Donnat Martin-Bergnac",5 août 1758,Haute-Garonne,Inconnu
13810,Denis Gémier des Périchons,5 août 1758,Loire,Loire
13811,"Edme, Antoine Villiers",1er août 1758,Paris,Inconnu
13812,"Jean-Baptiste, Barthélémy Lajard",31 juillet 1758,Hérault,Hérault
13813,Jean-Baptiste Astoin,29 juillet 1758,Aude,Aude
13814,Etienne Tournyol de la Rodde,28 juillet 1758,Creuse,Yonne
13815,"Jean, Guillaume Brixhe",27 juillet 1758,Inconnu,Inconnu
13816,"François, Marie, Pantaléon, Galatoire Coffin",27 juillet 1758,Inconnu,Inconnu
13817,"François, Marie Bachelot",26 juillet 1758,Loire-Inférieure,Morbihan
13818,"Jean, Isaac Combes-Dounous",22 juillet 1758,Lot,Lot
13819,Jean-François Lafabrie de la Sylvestrie,20 juillet 1758,Inconnu,Inconnu
13820,Pierre Duvant,19 juillet 1758,Loire,Loire
13821,Jean-Baptiste Lefranc,12 juillet 1758,Landes,Landes
13822,"Gabriel, Marie de Riccé",12 juillet 1758,Ain,Indre
13823,"Marc, Antoine Fournel",10 juillet 1758,Gironde,Inconnu
13824,"Ernest, Chrysostome Maignet",9 juillet 1758,Inconnu,Inconnu
13825,"Pierre, Joseph Duhem",8 juillet 1758,Nord,Inconnu
13826,"Nicolas, Constant Golzart",3 juillet 1758,Ardennes,Ardennes
13827,Martial Constant,1er juillet 1758,Gironde,Inconnu
13828,"Nicolas, François Delesaulx",1er juillet 1758,Nord,Nord
13829,"Charles, André Dupin",20 juin 1758,Nièvre,Nièvre
13830,"Denis, Bénigne Dézé",14 juin 1758,Inconnu,Inconnu
13831,"Joseph, Paul Debosque",12 juin 1758,Haute-Garonne,Haute-Garonne
13832,"Pierre, Joseph Demonceaux",7 juin 1758,Aisne,Inconnu
13833,Noël Chassaignac,5 juin 1758,Corrèze,Corrèze
13834,Jean-François Cornu de La Poype,31 mai 1758,Rhône,Inconnu
13835,Jean-Baptiste Soulignac,19 mai 1758,Haute-Vienne,Haute-Vienne
13836,Alexandre Besson,15 mai 1758,Doubs,Doubs
13837,Anthelme Marin,12 mai 1758,Savoie,
13838,"Maximilien, François, Marie, Isidore, Joseph de Robespierre",6 mai 1758,Paris,Inconnu
13839,"Henri, Joseph Blanquart de Bailleul",27 avril 1758,Yvelines,Inconnu
13840,"Jean-Baptiste, Celestin Poulain de Boutancourt",23 avril 1758,Ardennes,Marne
13841,"François, Louis, Esprit Dubois",22 avril 1758,Haut-Rhin,Haut-Rhin
13842,Philippe Augier de la Sauzaye,22 avril 1758,Charente-Inférieure,Paris
13843,"François, Joseph Ritter",19 avril 1758,Haut-Rhin,Haut-Rhin
13844,"Jacques, Barthélemy Noaille",14 avril 1758,Gard,Inconnu
13845,"Georges, Antoine Chabot dit Chabot de l'Allier",13 avril 1758,Allier,Paris
13846,"Paul, Augustin Lozeau",11 avril 1758,Charente-Inférieure,Charente-Maritime
13847,"Claude, Joseph Mallarmé",3 avril 1758,Meurthe,Inconnu
13848,Jean-François Blain,2 avril 1758,Inconnu,Inconnu
13849,Paul Gauran,2 avril 1758,Gers,Gers
13850,"Pierre, François Piorry",1er avril 1758,Vienne,Vienne
13851,"Alexandre, Edme, Gabriel Bertrand",19 mars 1758,Aube,Aube
13852,"François, Paul, Nicolas Anthoine",17 mars 1758,Meurthe,Moselle
13853,Théodore Chabert,16 mars 1758,Isère,Inconnu
13854,"Louis, Archambaud de Douglas",16 mars 1758,Ain,Inconnu
13855,"Joseph, Nicolas Pierret",15 mars 1758,Aube,Aube
13856,"Constant, Joseph, César, Eugène Gossuin",12 mars 1758,Nord,Paris
13857,"Pierre, Joseph Grangier",12 mars 1758,Cher,Cher
13858,"Adrien, Alexandre, Marie Hoverlant de Beauwelaère",9 mars 1758,Inconnu,Inconnu
13859,"Hervé, François Lefollet",7 mars 1758,Manche,Calvados
13860,"Jean, Guillaume Chabalier",5 mars 1758,Haute-Loire,Haute-Loire
13861,Bernard Descamps,4 mars 1758,Gers,Gers
13862,Jean-Baptiste Briolat,27 février 1758,Inconnu,Inconnu
13863,"Honoré, Maximin Isnard",24 février 1758,Var,Var
13864,Jacques Boisrot de la Cour,22 février 1758,Allier,Allier
13865,"Antoine, Charles, Nicolas Duchesne de Gillevoisin",20 février 1758,Seine,Paris
13866,Jacques Collard,20 février 1758,Moselle,Inconnu
13867,"Clément, Louis, Charles Berthot",17 février 1758,Haute-Marne,Haute-Marne
13868,"Marie, Joseph Dor de Lastours",15 février 1758,Tarn,Tarn
13869,Jean-Jacques Fockedey,15 février 1758,Nord,Nord
13870,"Henri, Jacques, Marie Gouin-Moisant",14 février 1758,Inconnu,Inconnu
13871,"Jean-Baptiste, Magdelaine Fleury",13 février 1758,Drôme,Isère
13872,André Bassaget,12 février 1758,Gard,Gard
13873,Hubert Pyrot,12 février 1758,Vosges,Moselle
13874,Pierre Lehardy,10 février 1758,Côtes,Paris
13875,Jean-Baptiste Grellet de la Rouzière,29 janvier 1758,Creuse,Creuse
13876,"Emmanuel, Louis, Jacques, André Castillon",28 janvier 1758,Seine-Inférieure,Seine-Maritime
13877,"Joseph, Charlemagne Dameron",28 janvier 1758,Nièvre,Paris
13878,Jean-Pierre Barère,27 janvier 1758,Hautes-Pyrénées,Inconnu
13879,Louis Guyardin,21 janvier 1758,Haute-Marne,Inconnu
13880,"Louis, Nicolas, Pierre, Joseph Dubois",20 janvier 1758,Nord,Inconnu
13881,Jacques Isoré,16 janvier 1758,Oise,Oise
13882,"François, Louis Bourdon de l'Oise",11 janvier 1758,Somme,Guyane
13883,Jacques Vincens-Saint-Laurent,9 janvier 1758,Gard,Paris
13884,Pierre Ferreri,9 janvier 1758,Inconnu,Inconnu
13885,"Eugène, Balthazar, Crescent Bénard de Moussinières",6 janvier 1758,Seine-Inférieure,Inconnu
13886,Charles Ganilh,6 janvier 1758,Cantal,Paris
13887,"Pierre, Vincent Benoist",5 janvier 1758,Paris,Inconnu
13888,Bernard Esperou,5 janvier 1758,Tarn,Tarn
13889,"Jacques, Nicolas, Jean, Antoine Bouteiller",4 janvier 1758,Somme,Inconnu
13890,Bernard Laujacq,1er janvier 1758,Inconnu,Inconnu
13891,Hyacinthe Richaud,30 décembre 1757,Basses-Alpes,Yvelines
13892,Jean-Pierre Duport-Lavillette,26 décembre 1757,Isère,Isère
13893,Bernard Turgan,22 décembre 1757,Gironde,Inconnu
13894,Vincent Chapelain,22 décembre 1757,Vendée,Vendée
13895,"Pierre, Nicolas Garnot",17 décembre 1757,Marne,Marne
13896,"André, Joseph Jourdan",15 décembre 1757,Inconnu,Inconnu
13897,"Jean ,César Battelier ou Battellier",13 décembre 1757,Marne,Marne
13898,"Honoré, François Dequen",8 décembre 1757,Somme,Somme
13899,Antoine Thévenin,7 décembre 1757,Allier,Inconnu
13900,"Jean, Pierre, Casimir de Marcassus de Puymaurin",5 décembre 1757,Haute-Garonne,Haute-Garonne
13901,Etienne Giroult,2 décembre 1757,Manche,Manche
13902,Edme Larcher,2 décembre 1757,Haute-Marne,Inconnu
13903,"Alexandre, Eustache Beaussier-Mathon",28 novembre 1757,Nord,Nord
13904,"Toussaint, Marie Gautier-Lamotte",27 novembre 1757,Côtes,Côtes
13905,"Julien, Urbain, François, Marie, Louis, Riel Lefebvre de la Chauvière",24 novembre 1757,Vendée,Inconnu
13906,"Louis, Charles, Antoine Petet de Beaufranchet d'Ayat",22 novembre 1757,Inconnu,Inconnu
13907,Jean-Baptiste Guillioud,20 novembre 1757,Isère,Isère
13908,"Pierre, Florent Louvet",20 novembre 1757,Somme,Paris
13909,"Jean, Aloys, Joseph Bosschaert",16 novembre 1757,Inconnu,Inconnu
13910,"Arnail, François de Jaucourt",14 novembre 1757,Inconnu,Inconnu
13911,"Edme, Alexandre David-Delisle",9 novembre 1757,Seine,Paris
13912,"Louis, Alexandre Gastin",7 novembre 1757,Var,Var
13913,"Louis, Alexandre Jard-Panvillier",7 novembre 1757,Deux-Sèvres,Paris
13914,"Pierre, Louis Ichon",6 novembre 1757,Gironde,Gironde
13915,Jean Guibal,5 novembre 1757,Tarn,Tarn
13916,"César, Jean-Baptiste Falentin de Saintenac",4 novembre 1757,Ariège,Haute-Garonne
13917,"François, Denis, Toussaint Rouch",1er novembre 1757,Hérault,Hérault
13918,François Plagnat,1er novembre 1757,Haute-Savoie,Inconnu
13919,Etienne Huet-Laval,27 octobre 1757,Inconnu,Inconnu
13920,"Pierre, François, Charles Augereau",21 octobre 1757,Seine,Inconnu
13921,"Jean-Baptiste, Pierre Senès",21 octobre 1757,Var,Var
13922,"Jacques, Armand Delamare",20 octobre 1757,Calvados,Seine-Maritime
13923,"Alexandre, Paul Guérin de Chateauneuf-Randon du Tournel",18 octobre 1757,Hautes-Pyrénées,Inconnu
13924,"Maurice, André Gaillard",16 octobre 1757,Aisne,Paris
13925,"Louis, Antoine, Joseph Robin",16 octobre 1757,Deux-Sèvres,Aube
13926,Jean-Marie Calès,13 octobre 1757,Haute-Garonne,Inconnu
13927,Christophe Dieudonné,12 octobre 1757,Vosges,Nord
13928,"Hue, Jacques, Edouard Dauchy",12 octobre 1757,Oise,Oise
13929,Charles de Brouckère,6 octobre 1757,Inconnu,Inconnu
13930,"Charles, Malo, François de Lameth",5 octobre 1757,Seine,Inconnu
13931,François Abgrall,4 octobre 1757,Côtes,Lieu
13932,"Jean, Baptiste, François Pétiniaud",4 octobre 1757,Haute-Vienne,Haute-Vienne
13933,Jean-Baptiste Quirot,3 octobre 1757,Doubs,Haute-Saône
13934,"Egide, Marie Sansoni",1er octobre 1757,Inconnu,Inconnu
13935,"Lamoraal, Joachim, Johan Van Burmania Rengers",28 septembre 1757,Inconnu,Inconnu
13936,Nicolas Rolland,24 septembre 1757,Seine,Paris
13937,"Pierre, Marie, Augustin Guyomar",19 septembre 1757,Côtes,Côtes
13938,"Laurent, François Dethier",14 septembre 1757,Inconnu,Inconnu
13939,"Charles, Bruno Francoville",12 septembre 1757,Inconnu,Inconnu
13940,"Francisque, Joseph Rudler",9 septembre 1757,Haut-Rhin,Bas-Rhin
13941,Jean-Louis Deville,7 septembre 1757,Marne,Marne
13942,"Marie, Joseph, Paul, Yves, Roch, Gilbert du Motier de Lafayette",6 septembre 1757,Haute-Loire,Paris
13943,Claude Bernard des Sablons,2 septembre 1757,Inconnu,Inconnu
13944,Jacques Lefort,1er septembre 1757,Inconnu,Inconnu
13945,"Joseph, Marie, Rose Armand",30 août 1757,Savoie,Haute-Savoie
13946,"Julien, Léonard Vauzelles",30 août 1757,Haute-Loire,Paris
13947,"Antoine, Christophe Saliceti",26 août 1757,Haute-Corse,Inconnu
13948,"Guillaume, Henri Dern",22 août 1757,Inconnu,Inconnu
13949,"Jean-Baptiste, Annibal Aubert du Bayet",19 août 1757,Inconnu,Inconnu
13950,"Antoine, Joseph, Marie Despinassy de Fontanelle",13 août 1757,Inconnu,Inconnu
13951,Aubin Bigorie Du Chambon,13 août 1757,Corrèze,Corrèze
13952,"Etienne, François Clary",8 août 1757,Inconnu,Inconnu
13953,"Pierre, Justin, Marie Couroux-Desprez",7 août 1757,Nièvre,Nièvre
13954,"Antoine, Dominique Chabanon",3 août 1757,Cantal,Cantal
13955,André Dufort,30 juillet 1757,Gers,Lieu
13956,Jean Jullou,29 juillet 1757,Côtes,Finistère
13957,"Jacques, Denis Cochin",27 juillet 1757,Seine,Paris
13958,"Antoine, François, Erhard, Marie, Catherine Desmousseaux de Givré",18 juillet 1757,Seine-Inférieure,Inconnu
13959,Jean Lacrampe,9 juillet 1757,Hautes-Pyrénées,Paris
13960,"Claude, Philippe Tailhandier",9 juillet 1757,Indre,Cher
13961,Léonard Bardon,1er juillet 1757,Corrèze,Inconnu
13962,"Pierre, Paul Giera",1er juillet 1757,Inconnu,Inconnu
13963,"Henri, David Stuve",1er juillet 1757,,Lieu
13964,"Jean, François Jenisch",1er juillet 1757,Inconnu,Inconnu
13965,"Antoine, Laurent Nugue",25 juin 1757,Isère,Rhône
13966,"Roland, Gaspard Lemerer",18 juin 1757,Inconnu,Inconnu
13967,Joseph Gautier,8 juin 1757,Corrèze,Corrèze
13968,Jean-Pierre Dauphole,5 juin 1757,Hautes-Pyrénées,Hautes-Pyrénées
13969,"Pierre, Jean, Georges Cabanis",5 juin 1757,Corrèze,Inconnu
13970,"Nicolas, Dionis, Jacques Jacomet",3 juin 1757,Pyrénées-Orientales,Pyrénées-Orientales
13971,"Julien, François Douillard",30 mai 1757,Loire-Inférieure,Loire-Atlantique
13972,"Charles, Auguste, Esprit, Rose Blutel",29 mai 1757,Calvados,Inconnu
13973,"Jean-Pierre, Antoine Chirat",25 mai 1757,Rhône,Inconnu
13974,"Jacques, Pierre, Aimable Chrestien de Fumechon",12 mai 1757,Eure,Seine-Maritime
13975,"Jacques, Jean Constant-Saint-Estève",6 mai 1757,Aveyron,Aveyron
13976,"Jean, Dominique Blanqui",23 avril 1757,Alpes-Maritimes,Paris
13977,"Pierre, Auguste Lajard",20 avril 1757,Hérault,Paris
13978,"Pierre, Jean Lévêque",18 avril 1757,Calvados,Calvados
13979,"Denis, Charles, Jean, Marie de Mac-Carthy",17 avril 1757,Charente-Maritime,Inconnu
13980,"Gérard, Xavier, Bernard, Joseph d'Onyn de la Chastre",13 avril 1757,Inconnu,Inconnu
13981,Jean-Jacques Bosc,10 avril 1757,Tarn,Gironde
13982,François Favre,4 avril 1757,Haute-Savoie,Haute-Savoie
13983,"Joseph, Balthazar Bonet de Treyches",28 mars 1757,Haute-Loire,Paris
13984,"Marc, Antoine Huguet",27 mars 1757,Paris,Inconnu
13985,"Philippe, Louis Ortalle",27 mars 1757,Inconnu,Inconnu
13986,Ambroise Henry Arnould,26 mars 1757,Seine,Paris
13987,"Antoine, Joseph Lanot",18 mars 1757,Corrèze,Corrèze
13988,"François, Hilaire Gilbert",18 mars 1757,Vienne,Inconnu
13989,"Philippe, François, Didier Usquin",17 mars 1757,Nièvre,Paris
13990,"Louis, Charles de Saint-Martial de Conros",16 mars 1757,Cantal,Paris
13991,"Jean, Nicolas Méaulle",16 mars 1757,Inconnu,Inconnu
13992,"Gabriel, Hyacinthe Couppé de Kervennou",15 mars 1757,Côtes,Côtes
13993,"François, Michel Courtot",15 mars 1757,Haute-Saône,Doubs
13994,Henri Fargues,13 mars 1757,Basses-Pyrénées,Paris
13995,"Laurent, Martial, Stanislas Boutroue",11 mars 1757,Sarthe,Inconnu
13996,"Jean, André Valletaux",10 mars 1757,Charente-Inférieure,Inconnu
13997,"Louis, Jean, Pierre Fontanes",6 mars 1757,Deux-Sèvres,Paris
13998,"Pierre, Martin Barien",5 mars 1757,Loire-Inférieure,Loire-Atlantique
13999,Georges de Genuyt,1er mars 1757,Haute-Marne,Haute-Marne
14000,"Pierre, Victor, Auguste Morillon",28 février 1757,Inconnu,Inconnu
14001,Godefroy Waldner de Freunstein,28 février 1757,Haut-Rhin,Haut-Rhin
14002,Guillaume Perrin,27 février 1757,Gironde,Gironde
14003,"Philippe, Antoine Grouvelle",27 février 1757,Seine,Essonne
14004,"Dominique, Christophe Bazoche",26 février 1757,Meuse,Meuse
14005,"Nicolas, Yves Borie",24 février 1757,Inconnu,Inconnu
14006,"François, Ignace, Antoine Fiesse",22 février 1757,Haut-Rhin,Lieu
14007,"Joseph, Louis, Victor Chevillard de Marlioz",21 février 1757,Savoie,Savoie
14008,"Albert, François, Joseph Duquenne",21 février 1757,Nord,Inconnu
14009,Charles Renauldon,16 février 1757,Isère,Isère
14010,Raymond Gaston,13 février 1757,Ariège,Paris
14011,Philippe Linati,11 février 1757,Inconnu,Inconnu
14012,"Antoine, Innocent Blaviel",9 février 1757,Lot,Lot
14013,"Etienne, Jean Panis",7 février 1757,Seine,Yvelines
14014,"Edouard, Jacques de Lesne-Harel",4 février 1757,Inconnu,Inconnu
14015,"Noël, Joseph Clément",2 février 1757,Nièvre,Nièvre
14016,"François, Louis, Jérôme Prudhomme",29 janvier 1757,Aisne,Aisne
14017,Guillaume Huon,25 janvier 1757,Finistère,Inconnu
14018,"Louis, Octave Bondani",22 janvier 1757,Inconnu,Inconnu
14019,"Gilbert, Amable Jourde",17 janvier 1757,Paris,Inconnu
14020,Guillaume Veirieu,13 janvier 1757,Haute-Garonne,Aude
14021,Jean-François Ehrmann,12 janvier 1757,Bas-Rhin,Bas-Rhin
14022,Jean-Pierre Mailho,5 janvier 1757,Hautes-Pyrénées,Inconnu
14023,Philippe Rosset,1er janvier 1757,Haute-Savoie,Inconnu
14024,"Jean, Thomas Bonnemain",29 décembre 1756,Aube,Aube
14025,"Bernard, Germain, Etienne de la Ville-Sur-Illon de Lacépède",26 décembre 1756,Inconnu,Inconnu
14026,"Joseph, François, Augustin Monneron",24 décembre 1756,Ardèche,Inconnu
14027,Pierre Duboys de la Bernarde,22 décembre 1756,Charente,Charente
14028,Jean-François Curée de la Bédissière,21 décembre 1756,Hérault,Hérault
14029,"Thomas, Philippe Légier",20 décembre 1756,Loiret,Inconnu
14030,Pierre Trottier,11 décembre 1756,Cher,Inconnu
14031,Pierre Léchelle,11 décembre 1756,Oise,Paris
14032,Jean-Baptiste Papin de Saint Christau,10 décembre 1756,Landes,Paris
14033,Louis Champigny-Aubin,2 décembre 1756,Inconnu,Inconnu
14034,Pierre Duvoisin de Laserve,30 novembre 1756,Haute-Vienne,Haute-Vienne
14035,"Claude, Marie Groscassand-Dorimond",29 novembre 1756,Ain,Paris
14036,"Pierre, Jean, Louis Campmas",28 novembre 1756,Tarn,Tarn
14037,Jean-François Sausset,25 novembre 1756,Ain,Inconnu
14038,Jean Borie,24 novembre 1756,Corrèze,Inconnu
14039,"Jean, Chrysostome de Sévin",24 novembre 1756,Inconnu,Inconnu
14040,"Claude, Louis, Salomon Lecurel-Descoraux",23 novembre 1756,Doubs,Haute-Saône
14041,"Pierre, Clément de Laussat",23 novembre 1756,Basses-Pyrénées,Pyrénées-Atlantiques
