,Nom,Né le,Département de naissance,Département de mort
3341,"Charles, Henri, Albert Bosson",2 août 1910,Haute-Savoie,Inconnu
3342,Roger Devemy,28 juillet 1910,Nord,Inconnu
3343,Louis Dubois,23 juillet 1910,Nièvre,Nièvre
3344,Jean Goudoux,23 juillet 1910,Corrèze,Corrèze
3345,Jean-Louis Tinaud,23 juillet 1910,Inconnu,Inconnu
3346,Mamadou Dia,18 juillet 1910,Inconnu,Inconnu
3347,Robert Grèverie,18 juillet 1910,Seine-Inférieure,Seine-Maritime
3348,André Lebon,16 juillet 1910,Ardennes,Ardennes
3349,André Lebon,16 juillet 1910,Seine-Inférieure,Paris
3350,André Lebon,26 août 1858,Ardennes,Ardennes
